job_title,category_name
"Software Engineer, Games (New Grad)",Software Engineer
Softtech Talent Belt 2025,Software Engineer
Junior Software Engineer,Software Engineer
Expert system engineer,Computer Engineer
Data Centre Critical Facilities Engineer,Computer Engineer
System engineer,Computer Engineer
Data Analyst,Data Analyst / Data Scientist
Data scientist,Data Analyst / Data Scientist
Product Data Analyst,Data Analyst / Data Scientist
Content Management System Developer (CMS),Web / Mobile Developer
Growth Hacker (Junior / Associate),Web / Mobile Developer
Mobile App Developer,Web / Mobile Developer
Help Desk_Specialist,IT Support Specialist
System Support Specialist,IT Support Specialist
Technical Support Specialist (Fresh Grad),IT Support Specialist
Technical Support Specialist Hiring Day - March 14th,IT Support Specialist
Technical Support Specialist,IT Support Specialist
Devops Engineer,DevOps Engineer
Advanced Technology Systems System Engineer,DevOps Engineer
DevOps Engineer,DevOps Engineer
Cyber Security Specialist,Cybersecurity Specialist
Cyber Security Specialist,Cybersecurity Specialist
Senior Information Security Specialist,Cybersecurity Specialist
Data engineer,Cloud Engineer
Systems Engineer - SecOps (Turkey),Cloud Engineer
Junior Data Engineer,Cloud Engineer
Software Engineer - Python/Golang - Kubernetes,Cloud Engineer
Ubuntu Core Software Engineer,Cloud Engineer
Game Developer,Network Engineer / Systems Administrator
Product Specialist (New Grad),Network Engineer / Systems Administrator
"Mechanical Engineer at Innovative Drone Startup (SOLIDWORKS, 3D Printing, Manufacturing)",Network Engineer / Systems Administrator
QA Tester,Network Engineer / Systems Administrator
CEVAHİR LEVİS FULL TİME STYLİST,Network Engineer / Systems Administrator
MATHEMATICS TEACHER (Online),Network Engineer / Systems Administrator
Research Specialist,Network Engineer / Systems Administrator
Database Administrator,Database Administrator (DBA)
Database manager,Database Administrator (DBA)
Sr. Database Administrator,Database Administrator (DBA)
DATABASE ADMINISTRATOR,Database Administrator (DBA)
Database manager,Database Administrator (DBA)
"Guidance, navigation and control engineer",Embedded Systems / Hardware Engineer
Senior Electronic Hardware Design Engineer,Embedded Systems / Hardware Engineer
Avionic System Design Engineer,Embedded Systems / Hardware Engineer
Senior Build Engineer,Site Reliability Engineer (SRE)
"Python Software Engineer, Commercial Systems",Site Reliability Engineer (SRE)
DevSecOps Engineer,Site Reliability Engineer (SRE)
"Site Reliability Engineer (Global, APAC)",Site Reliability Engineer (SRE)
Buildings&Systems Engineering Specialist,Site Reliability Engineer (SRE)
Control Systems Simulation and Calibration Engineer,Robotics Engineer
Engine Control Engineer,Robotics Engineer
Senior Automation QA (C#) Engineer,Robotics Engineer
Senior Automation QA Engineer,Robotics Engineer
Sales Engineer ( Robotics ),Robotics Engineer
Process Control & Automation Engineer - Relocation to Saudi Arabia,Robotics Engineer
Avionic Indicator and Control Systems Design Engineer,Robotics Engineer
"Future Challengers Project Engineer (Production, Quality Assurance, IT&AI Systems Managements)",IoT Engineer
Buried software engineer,IoT Engineer
AI-Governance Consultant,IoT Engineer
"Inside Sales Engineer, Measurement Solutions",IoT Engineer
Blockchain Researcher,Blockchain Developer
Blockchain Architect,Blockchain Developer
SaaS Growth Hacker,Blockchain Developer
Software engineer,AR/VR Developer
Level Designer,AR/VR Developer
Senior .NET Software Development Specialist,AR/VR Developer
Aosp Developer,AR/VR Developer
Senior Game Designer,AR/VR Developer
Senior Machine Learning Engineer,AI / Machine Learning Engineer
Lead Machine Learning Engineer,AI / Machine Learning Engineer
Senior Machine Learning Engineer,AI / Machine Learning Engineer
Machine Learning Scientist - 134774,AI / Machine Learning Engineer
Lead AI/ML Engineer,AI / Machine Learning Engineer
Product Specialist,Product Manager
Product Manager,Product Manager
Payments Products Manager,Product Manager
Business analyst,Business Analyst
Senior Business Analyst,Business Analyst
Business Analyst Team Leader,Business Analyst
IT Business Analyst (HR Projects),System Analyst
IT and network analysit,System Analyst
Senior system analyst,System Analyst
Information Technology Auditor,System Analyst
Senior IT Auditor,System Analyst
Assistant Project Manager (Work From Home),Project Manager
Project Executive,Project Manager
YENİLENEBİLİR ENERJİ PROJE GELİŞTİRME UZMANI,Project Manager
Business Development Specialist,Business Development Specialist
Commercial Development Specialist,Business Development Specialist
Sectoral Research Manager / Assistant Manager / Senior Specialist,Business Development Specialist
EMEA Pricing Analyst (Remote from Türkiye),Financial Analyst
Senior Financial Analyst,Financial Analyst
Financial Analyst Executive,Financial Analyst
Bilingual community manager,Operations Manager
Crew Control Operations Specialist,Operations Manager
Sr. Operation Manager,Operations Manager
Technical Marketing and Automation Manager (ZR_21168_JOB),Sales and Marketing Manager
Marketing Manager,Sales and Marketing Manager
Marketing Communications Manager,Sales and Marketing Manager
International Customer Support Advisor,Customer Relations Specialist
Customer Service Specialist,Customer Relations Specialist
Customer Experience Specialist,Customer Relations Specialist
Composite Materials Application Engineer,Production/Manufacturing Engineer
Industrial engineer,Production/Manufacturing Engineer
Quality Control Engineer,Production/Manufacturing Engineer
Senior Unreal Game Engineer (Project Based),Game Designer
Game Designer - Video Game Projects,Game Designer
Android Developer,Game Designer
Senior Game Developer,Game Designer
Senior Android Developer (Data & Insights),Game Designer
Ice Cream GTM Supply Chain Specialist,Logistics / Supply Chain Manager
Stock Manager,Logistics / Supply Chain Manager
Planning & Logistics Manager,Logistics / Supply Chain Manager
